t	1	2	jV0100	
0.371	0.724653	0.000723929	-0.725377	
0.372	0.720309	0.000719589	-0.721029	
0.373	0.715936	0.000715221	-0.716652	
0.374	0.711536	0.000710825	-0.712247	
0.375	0.707107	0.0007064	-0.707813	
0.376	0.70265	0.000701948	-0.703352	
0.377	0.698165	0.000697468	-0.698863	
0.378	0.693653	0.00069296	-0.694346	
0.379	0.689114	0.000688425	-0.689802	
0.38	0.684547	0.000683863	-0.685231	
0.381	0.679953	0.000679274	-0.680633	
0.382	0.675333	0.000674658	-0.676007	
0.383	0.670686	0.000670016	-0.671356	
0.384	0.666012	0.000665347	-0.666677	
0.385	0.661312	0.000660651	-0.661973	
0.386	0.656586	0.00065593	-0.657242	
0.387	0.651834	0.000651183	-0.652485	
0.388	0.647056	0.00064641	-0.647702	
0.389	0.642253	0.000641611	-0.642894	
0.39	0.637424	0.000636787	-0.638061	
0.391	0.63257	0.000631938	-0.633202	
0.392	0.627691	0.000627064	-0.628318	
0.393	0.622788	0.000622166	-0.62341	
0.394	0.61786	0.000617242	-0.618477	
0.395	0.612907	0.000612295	-0.613519	
0.396	0.60793	0.000607323	-0.608538	
0.397	0.60293	0.000602327	-0.603532	
0.398	0.597905	0.000597308	-0.598502	
0.399	0.592857	0.000592265	-0.593449	
0.4	0.587785	0.000587198	-0.588372	
0.401	0.58269	0.000582108	-0.583273	
0.402	0.577573	0.000576996	-0.57815	
0.403	0.572432	0.00057186	-0.573004	
0.404	0.567269	0.000566702	-0.567836	
0.405	0.562083	0.000561522	-0.562645	
0.406	0.556876	0.000556319	-0.557432	
0.407	0.551646	0.000551095	-0.552197	
0.408	0.546394	0.000545848	-0.54694	
0.409	0.541121	0.000540581	-0.541662	
0.41	0.535827	0.000535292	-0.536362	
0.411	0.530511	0.000529981	-0.531041	
0.412	0.525175	0.00052465	-0.525699	
0.413	0.519817	0.000519298	-0.520337	
0.414	0.51444	0.000513926	-0.514953	
0.415	0.509041	0.000508533	-0.50955	
0.416	0.503623	0.00050312	-0.504126	
0.417	0.498185	0.000497687	-0.498683	
0.418	0.492727	0.246364	-0.739091	
0.419	0.48725	0.243625	-0.730875	
0.42	0.481754	0.240877	-0.722631	
0.421	0.476238	0.238119	-0.714357	
0.422	0.470704	0.235352	-0.706056	
