t 1 2 jL0100 jV0200 
0.000455 3.11596 1.36713 1.74883 -1.74883
0.000456 3.09181 1.34162 1.75019 -1.75019
0.000457 3.06761 1.31609 1.75152 -1.75152
0.000458 3.04337 1.29055 1.75282 -1.75282
0.000459 3.01908 1.26499 1.7541 -1.7541
0.00046 2.99476 1.23941 1.75535 -1.75535
0.000461 2.9704 1.21382 1.75658 -1.75658
0.000462 2.946 1.18822 1.75778 -1.75778
0.000463 2.92156 1.16261 1.75895 -1.75895
0.000464 2.89708 1.13698 1.7601 -1.7601
0.000465 2.87257 1.11135 1.76123 -1.76123
0.000466 2.84803 1.0857 1.76233 -1.76233
0.000467 2.82345 1.06005 1.7634 -1.7634
0.000468 2.79884 1.03439 1.76445 -1.76445
0.000469 2.7742 1.00873 1.76547 -1.76547
0.00047 2.74953 0.983063 1.76646 -1.76646
0.000471 2.72482 0.95739 1.76743 -1.76743
0.000472 2.70009 0.931715 1.76838 -1.76838
0.000473 2.67533 0.906037 1.7693 -1.7693
0.000474 2.65055 0.880359 1.77019 -1.77019
0.000475 2.62574 0.854681 1.77106 -1.77106
0.000476 2.6009 0.829003 1.7719 -1.7719
0.000477 2.57604 0.803328 1.77272 -1.77272
0.000478 2.55116 0.777656 1.77351 -1.77351
0.000479 2.52626 0.751987 1.77427 -1.77427
0.00048 2.50133 0.726323 1.77501 -1.77501
0.000481 2.47639 0.700666 1.77572 -1.77572
0.000482 2.45143 0.675015 1.77641 -1.77641
0.000483 2.42644 0.649371 1.77707 -1.77707
0.000484 2.40145 0.623737 1.77771 -1.77771
0.000485 2.37643 0.598113 1.77832 -1.77832
0.000486 2.3514 0.572499 1.77891 -1.77891
0.000487 2.32636 0.546897 1.77947 -1.77947
0.000488 2.30131 0.521308 1.78 -1.78
0.000489 2.27624 0.495732 1.78051 -1.78051
0.00049 2.25116 0.470171 1.78099 -1.78099
0.000491 2.22607 0.444626 1.78145 -1.78145
0.000492 2.20098 0.419097 1.78188 -1.78188
0.000493 2.17587 0.393586 1.78229 -1.78229
0.000494 2.15076 0.368093 1.78267 -1.78267
0.000495 2.12564 0.34262 1.78302 -1.78302
0.000496 2.10052 0.317168 1.78335 -1.78335
0.000497 2.07539 0.291736 1.78366 -1.78366
0.000498 2.05026 0.266328 1.78394 -1.78394
0.000499 2.02513 0.240943 1.78419 -1.78419
0.0005 2 0.215582 1.78442 -1.78442
0.000501 1.97487 0.190246 1.78462 -1.78462
0.000502 1.94974 0.164937 1.7848 -1.7848
0.000503 1.92461 0.139655 1.78495 -1.78495
0.000504 1.89948 0.114402 1.78508 -1.78508
0.000505 1.87436 0.0891771 1.78518 -1.78518
0.000506 1.84924 0.0639828 1.78526 -1.78526
0.000507 1.82413 0.0388197 1.78531 -1.78531
0.000508 1.79902 0.0136886 1.78533 -1.78533
0.000509 1.77393 -0.0114094 1.78534 -1.78534
0.00051 1.74884 -0.0364734 1.78531 -1.78531
0.000511 1.72376 -0.0615024 1.78526 -1.78526
0.000512 1.69869 -0.0864955 1.78519 -1.78519
0.000513 1.67364 -0.111452 1.78509 -1.78509
0.000514 1.6486 -0.13637 1.78497 -1.78497
0.000515 1.62357 -0.16125 1.78482 -1.78482
0.000516 1.59855 -0.18609 1.78464 -1.78464
0.000517 1.57356 -0.210889 1.78444 -1.78444
0.000518 1.54857 -0.235647 1.78422 -1.78422
0.000519 1.52361 -0.260362 1.78397 -1.78397
0.00052 1.49867 -0.285033 1.7837 -1.7837
0.000521 1.47374 -0.309661 1.7834 -1.7834
0.000522 1.44884 -0.334242 1.78308 -1.78308
0.000523 1.42396 -0.358778 1.78273 -1.78273
0.000524 1.3991 -0.383266 1.78236 -1.78236
