t	1	2	3	jO0200	jV0300	
0.01175	0.00377033	0.00754065	0.00377033	-7.54065e-06	3.77033e-06	
0.0118	0.00378487	0.00756974	0.00378487	-7.56974e-06	3.78487e-06	
0.01185	0.00379941	0.00759881	0.00379941	-7.59881e-06	3.79941e-06	
0.0119	0.00381393	0.00762786	0.00381393	-7.62786e-06	3.81393e-06	
0.01195	0.00382845	0.00765689	0.00382845	-7.65689e-06	3.82845e-06	
0.012	0.00384295	0.00768591	0.00384295	-7.68591e-06	3.84295e-06	
0.01205	0.00385745	0.0077149	0.00385745	-7.7149e-06	3.85745e-06	
0.0121	0.00387194	0.00774388	0.00387194	-7.74388e-06	3.87194e-06	
0.01215	0.00388642	0.00777283	0.00388642	-7.77283e-06	3.88642e-06	
0.0122	0.00390088	0.00780177	0.00390088	-7.80177e-06	3.90088e-06	
0.01225	0.00391534	0.00783069	0.00391534	-7.83069e-06	3.91534e-06	
0.0123	0.00392979	0.00785958	0.00392979	-7.85958e-06	3.92979e-06	
0.01235	0.00394423	0.00788846	0.00394423	-7.88846e-06	3.94423e-06	
0.0124	0.00395866	0.00791732	0.00395866	-7.91732e-06	3.95866e-06	
0.01245	0.00397308	0.00794616	0.00397308	-7.94616e-06	3.97308e-06	
0.0125	0.00398749	0.00797498	0.00398749	-7.97498e-06	3.98749e-06	
0.01255	0.00400189	0.00800378	0.00400189	-8.00378e-06	4.00189e-06	
0.0126	0.00401628	0.00803256	0.00401628	-8.03256e-06	4.01628e-06	
0.01265	0.00403066	0.00806132	0.00403066	-8.06132e-06	4.03066e-06	
0.0127	0.00404503	0.00809006	0.00404503	-8.09006e-06	4.04503e-06	
0.01275	0.00405939	0.00811879	0.00405939	-8.11879e-06	4.05939e-06	
0.0128	0.00407374	0.00814749	0.00407374	-8.14749e-06	4.07374e-06	
0.01285	0.00408808	0.00817617	0.00408808	-8.17617e-06	4.08808e-06	
0.0129	0.00410241	0.00820483	0.00410241	-8.20483e-06	4.10241e-06	
0.01295	0.00411673	0.00823347	0.00411673	-8.23347e-06	4.11673e-06	
0.013	0.00413104	0.00826209	0.00413104	-8.26209e-06	4.13104e-06	
