t	1	2	jV0100	
0.609	-1.26514	0.000126527	-0.000126527	
0.61	-1.27485	0.000127498	-0.000127498	
0.611	-1.28451	0.000128463	-0.000128463	
0.612	-1.29411	0.000129424	-0.000129424	
0.613	-1.30367	0.00013038	-0.00013038	
0.614	-1.31317	0.00013133	-0.00013133	
0.615	-1.32262	0.000132276	-0.000132276	
0.616	-1.33202	0.000133216	-0.000133216	
0.617	-1.34137	0.000134151	-0.000134151	
0.618	-1.35067	0.00013508	-0.00013508	
0.619	-1.35991	0.000136004	-0.000136004	
0.62	-1.36909	0.000136923	-0.000136923	
0.621	-1.37823	0.000137837	-0.000137837	
0.622	-1.38731	0.000138745	-0.000138745	
0.623	-1.39633	0.000139647	-0.000139647	
0.624	-1.4053	0.000140544	-0.000140544	
0.625	-1.41421	0.000141435	-0.000141435	
0.626	-1.42307	0.000142321	-0.000142321	
0.627	-1.43187	0.000143202	-0.000143202	
0.628	-1.44062	0.000144076	-0.000144076	
0.629	-1.44931	0.000144945	-0.000144945	
0.63	-1.45794	0.000145808	-0.000145808	
0.631	-1.46651	0.000146666	-0.000146666	
0.632	-1.47503	0.000147517	-0.000147517	
0.633	-1.48348	0.000148363	-0.000148363	
0.634	-1.49188	0.000149203	-0.000149203	
0.635	-1.50022	0.000150037	-0.000150037	
0.636	-1.5085	0.000150865	-0.000150865	
0.637	-1.51672	0.000151688	-0.000151688	
0.638	-1.52489	0.000152504	-0.000152504	
0.639	-1.53299	0.000153314	-0.000153314	
0.64	-1.54103	0.000154118	-0.000154118	
0.641	-1.54901	0.000154916	-0.000154916	
0.642	-1.55692	0.000155708	-0.000155708	
0.643	-1.56478	0.000156494	-0.000156494	
0.644	-1.57258	0.000157273	-0.000157273	
0.645	-1.58031	0.000158047	-0.000158047	
0.646	-1.58798	0.000158814	-0.000158814	
0.647	-1.59559	0.000159575	-0.000159575	
0.648	-1.60313	0.000160329	-0.000160329	
0.649	-1.61062	0.000161078	-0.000161078	
0.65	-1.61803	0.00016182	-0.00016182	
0.651	-1.62539	0.000162555	-0.000162555	
0.652	-1.63268	0.000163284	-0.000163284	
0.653	-1.6399	0.000164007	-0.000164007	
